Designator,Footprint,Quantity,Value,LCSC Part #
"C101, C105",0603,2,100n,C14663
"C106, C107",0805,2,2u2,C377773
D101,SOT-23,1,BAV70,
D102,0603,1,LED,C434423
F101,FUSE-Littelfuse_Nano2_154x,1,0154008.DR,C206919
"J101, J102, J103, J104, J106",PH_01x02H-H,5,Conn_01x02,
J105,PHD_02x04H-H,1,SCS_IN,-
"Q101, Q102, Q103, Q104, Q105",SOT-23,5,2N7002,
"R101, R102, R103",0603,3,14k,
"R106, R107, R108, R114",0603,4,10k,C25804
R109,0603,1,200,C8218
"R110, R111, R112, R113",1206,4,120,C17909
R115,0603,1,1k,C21190
RV101,RV_Bourns_3362,1,10K,
SG101,Small-General BoardCut,1,~,-
SW101,PushBtn_TS-1187A-B-A-B,1,SW_Push, C318884
SW102,PH_01x04H-H,1,SW_Push_LED,-
U101,SOIC-14_3.9x8.7mm_P1.27mm,1,~,
U105,SOT-223-3_TabPin2,1,AMS1117-5.0,C6186
